"mad_gdppc","cname","bicc_gmi","bmr_dem","ht_region"
14124.1181640625,"Serbia",168,"Yes","Eastern Europe and post Soviet Uniono"
29531.060546875,"Seychelles",82,"Yes","Sub-Saharan Africa"
1683.84973144531,"Sierra Leone",43,"Yes","Sub-Saharan Africa"
68402.34375,"Singapore",313,"No","South-East Asia"
27075.53515625,"Slovakia",135,"Yes","Eastern Europe and post Soviet Uniono"
6814.14208984375,"Viet Nam",NA,"No","South-East Asia"
29244.919921875,"Slovenia",137,"Yes","Eastern Europe and post Soviet Uniono"
NA,"Somalia",NA,"No","Sub-Saharan Africa"
12165.794921875,"South Africa",102,"Yes","Sub-Saharan Africa"
1611.40515136719,"Zimbabwe",128,"No","Sub-Saharan Africa"
31496.51953125,"Spain",129,"Yes","Western Europe and North America"
NA,"South Sudan",170,"No","Sub-Saharan Africa"
3379.595703125,"Sudan (the)",166,"No","Sub-Saharan Africa"
NA,"Suriname",NA,"Yes","The Caribbean"
8068.2119140625,"Eswatini",NA,"No","Sub-Saharan Africa"
45541.890625,"Sweden",154,"Yes","Western Europe and North America"
61372.73046875,"Switzerland",153,"Yes","Western Europe and North America"
3349.45971679688,"Syrian Arab Republic (the)",NA,"No","North Africa & the Middle East"
4440.3818359375,"Tajikistan",87,"No","Eastern Europe and post Soviet Uniono"
16648.623046875,"Thailand",160,"No","South-East Asia"
1451.36083984375,"Togo",132,"No","Sub-Saharan Africa"
NA,"Tonga",NA,"No","The Pacfic"
28549.408203125,"Trinidad and Tobago",46,"Yes","The Caribbean"
76397.8203125,"United Arab Emirates (the)",296,"No","North Africa & the Middle East"
11353.88671875,"Tunisia",168,"Yes","North Africa & the Middle East"
19270.220703125,"Turkey",219,"No","North Africa & the Middle East"
26318.365234375,"Turkmenistan",NA,"No","Eastern Europe and post Soviet Uniono"
NA,"Tuvalu",NA,"Yes","The Pacfic"
2045.42028808594,"Uganda",119,"No","Sub-Saharan Africa"
9813.36328125,"Ukraine",219,"Yes","Eastern Europe and post Soviet Uniono"
13074.2314453125,"North Macedonia",174,"Yes","Eastern Europe and post Soviet Uniono"
11957.2119140625,"Egypt",198,"No","North Africa & the Middle East"
38058.0859375,"United Kingdom of Great Britain and Northern Ireland (the)",141,"Yes","Western Europe and North America"
2874.962890625,"Tanzania, the United Republic of",121,"No","Sub-Saharan Africa"
55334.73828125,"United States of America (the)",203,"Yes","Western Europe and North America"
1589.62414550781,"Burkina Faso",111,"Yes","Sub-Saharan Africa"
20185.8359375,"Uruguay",189,"Yes","Latin America"
11220.3701171875,"Uzbekistan",172,"No","Eastern Europe and post Soviet Uniono"
10709.9501953125,"Venezuela (Bolivarian Republic of)",129,"No","Latin America"
NA,"Samoa",NA,"No","The Pacfic"
2284.88989257812,"Yemen",148,"No","North Africa & the Middle East"
3534.03369140625,"Zambia",97,"Yes","Sub-Saharan Africa"
